Category: All categories

City,ps4: (9/12/17 - 9/12/22)
Sunrise Manor,100
Fountain,
Donna,
Fort Stewart,
Joint Base Lewis-McChord,
Lancaster,
Perris,88
San Juan,
Lompoc,
Buena Ventura Lakes,
Godfrey,
Wichita Falls,
Hamilton,
Pueblo,84
Waterbury,
Lorain,
Antelope,
Compton,
Lawton,
Merced,
Mansfield,
Athens,
Winchester,
Hunter,
Fall River,
Baldwin Park,
Portage,
Hesperia,
Bellevue,
Falling Waters,
Cut and Shoot,
Fairbanks,
Warren,
Rock Springs,
Franklin,
Poinciana,
Hopewell,
Middleburg,
Florin,
Paterson,
Colorado Springs,
Goshen,
Martinsburg,
West Valley City,
Carrollton,
Glendale,
Pasadena,74
Monroe,
Sapulpa,
Prattville,
Port Saint John,
Penn Hills,
Post Falls,
Saint Joseph,
Moorhead,
Casa Grande,
Altoona,
Camden,
Victoria,
Fort Smith,
Goshen,
Lima,
Hobart,
Morristown,
Ruston,
Richmond,
Norwalk,
Rockmart,
Goldsboro,
Youngstown,
Dayton,
Sonora,
Conyers,
Combes,
Lancaster,
Murphysboro,
Garland,69
Springfield,69
Corpus Christi,
Euclid,
McMinnville,
Lathrop,
Jurupa Valley,67
Akron,67
Howards Grove,
Westfield,
Frankfort,
Bremerton,
Stillwater,
Endwell,
Roland,
Brockton,
Ontario,
West Jordan,
Oklahoma City,
Utica,
Carney,
Wichita,65
Athens,
Stevens Point,
Terre Haute,
Greenfield,
Liverpool,
Morganton,
Louisville,
Crest Hill,
Blountville,
Plant City,64
Sacramento,
Inglewood,
South Elgin,
Miamisburg,
Decatur,
Alcoa,
West Allis,
Enfield,
Ranchettes,
Sanford,
Houston,
Schenectady,
Vacaville,
Tifton,
Waterford Township,
Salem,
Kenner,
Glen Burnie,
Concord,
Brooklyn Park,
Anchorage,
East Orange,
Coram,
McDonough,
Albany,
Methuen,
Madison,
Saint Cloud,
Central,
Lakewood,
Menifee,
Prairieville,
Burnsville,
Warner Robins,
Spotsylvania Courthouse,
Sun Prairie,
Shawnee,
Woodlawn,
Garden City,
Victor,
Grand Rapids,
Lawrenceville,
Vallejo,
Vista,
Ankeny,
Hickory,
Montclair,
Smyrna,
Waimalu,
Chicago,
Indian Trail,
Oceanside,
West Bend,
Lilburn,
Chandler,
Stratford,
Pike Creek,
Centertown,
Lake Havasu City,
Winchester,
Woodstock,
Valley Stream,
Richland,
Montgomery,
Florence,53
Marysville,
Medina,
McKinney,
Groveland,
Simi Valley,
Town 'n' Country,
Saratoga Springs,
Plainfield,
Federal Way,
Savage,
Littleton,
Castro Valley,
Hoffman Estates,
Ross Township,
Des Plaines,
Champaign,
Mechanicsburg,
Yonkers,
East Cobb,
League City,
Eagan,
Mooresville,
Carolina Forest,
Rochester,40
The Woodlands,
Ellicott City,
Silver Spring,
