month,week,searched_count_video_game,year_of_order,searched_count_ps4,searched_count_xbox
2017-09-17,2017-09-17,53,2017,18,38
2017-09-24,2017-09-24,54,2017,17,36
2017-10-01,2017-10-01,48,2017,18,35
2017-10-08,2017-10-08,56,2017,18,37
2017-10-15,2017-10-15,57,2017,18,37
2017-10-22,2017-10-22,60,2017,17,39
2017-10-29,2017-10-29,59,2017,19,45
2017-11-05,2017-11-05,67,2017,22,59
2017-11-12,2017-11-12,65,2017,24,52
2017-11-19,2017-11-19,79,2017,44,89
2017-11-26,2017-11-26,72,2017,32,66
2017-12-03,2017-12-03,67,2017,25,56
2017-12-10,2017-12-10,69,2017,28,65
2017-12-17,2017-12-17,71,2017,33,70
2017-12-24,2017-12-24,68,2017,45,100
2017-12-31,2017-12-31,57,2017,31,68
2018-01-07,2018-01-07,60,2018,24,52
2018-01-14,2018-01-14,61,2018,25,51
2018-01-21,2018-01-21,63,2018,25,49
2018-01-28,2018-01-28,63,2018,24,46
2018-02-04,2018-02-04,63,2018,22,46
2018-02-11,2018-02-11,70,2018,22,44
2018-02-18,2018-02-18,66,2018,24,47
2018-02-25,2018-02-25,66,2018,23,54
2018-03-04,2018-03-04,69,2018,24,43
2018-03-11,2018-03-11,66,2018,25,48
2018-03-18,2018-03-18,62,2018,25,52
2018-03-25,2018-03-25,63,2018,25,50
2018-04-01,2018-04-01,62,2018,24,49
2018-04-08,2018-04-08,70,2018,23,47
2018-04-15,2018-04-15,64,2018,22,41
2018-04-22,2018-04-22,63,2018,22,39
2018-04-29,2018-04-29,59,2018,20,39
2018-05-06,2018-05-06,59,2018,20,38
2018-05-13,2018-05-13,60,2018,21,37
2018-05-20,2018-05-20,62,2018,24,44
2018-05-27,2018-05-27,58,2018,25,45
2018-06-03,2018-06-03,57,2018,23,43
2018-06-10,2018-06-10,59,2018,31,53
2018-06-17,2018-06-17,52,2018,25,46
2018-06-24,2018-06-24,50,2018,22,45
2018-07-01,2018-07-01,50,2018,22,46
2018-07-08,2018-07-08,54,2018,24,45
2018-07-15,2018-07-15,53,2018,23,46
2018-07-22,2018-07-22,50,2018,24,44
2018-07-29,2018-07-29,51,2018,24,45
2018-08-05,2018-08-05,51,2018,25,45
2018-08-12,2018-08-12,52,2018,23,52
2018-08-19,2018-08-19,52,2018,23,39
2018-08-26,2018-08-26,57,2018,25,41
2018-09-02,2018-09-02,64,2018,32,41
2018-09-09,2018-09-09,57,2018,33,42
2018-09-16,2018-09-16,59,2018,25,38
2018-09-23,2018-09-23,54,2018,26,40
2018-09-30,2018-09-30,58,2018,21,36
2018-10-07,2018-10-07,57,2018,22,39
2018-10-14,2018-10-14,56,2018,23,38
2018-10-21,2018-10-21,60,2018,22,40
2018-10-28,2018-10-28,60,2018,23,41
2018-11-04,2018-11-04,64,2018,22,44
2018-11-11,2018-11-11,71,2018,26,46
2018-11-18,2018-11-18,77,2018,50,77
2018-11-25,2018-11-25,72,2018,33,56
2018-12-02,2018-12-02,76,2018,29,49
2018-12-09,2018-12-09,73,2018,29,49
2018-12-16,2018-12-16,70,2018,32,60
2018-12-23,2018-12-23,66,2018,45,83
2018-12-30,2018-12-30,64,2018,32,56
2019-01-06,2019-01-06,60,2019,23,44
2019-01-13,2019-01-13,62,2019,22,39
2019-01-20,2019-01-20,59,2019,22,40
2019-01-27,2019-01-27,62,2019,24,52
2019-02-03,2019-02-03,59,2019,21,39
2019-02-10,2019-02-10,61,2019,22,38
2019-02-17,2019-02-17,59,2019,21,40
2019-02-24,2019-02-24,61,2019,20,36
2019-03-03,2019-03-03,59,2019,21,38
2019-03-10,2019-03-10,59,2019,19,36
2019-03-17,2019-03-17,63,2019,19,35
2019-03-24,2019-03-24,61,2019,19,33
2019-03-31,2019-03-31,59,2019,18,33
2019-04-07,2019-04-07,58,2019,18,30
2019-04-14,2019-04-14,58,2019,19,35
2019-04-21,2019-04-21,57,2019,17,31
2019-04-28,2019-04-28,48,2019,17,29
2019-05-05,2019-05-05,56,2019,16,30
2019-05-12,2019-05-12,61,2019,17,30
2019-05-19,2019-05-19,57,2019,17,32
2019-05-26,2019-05-26,55,2019,20,34
2019-06-02,2019-06-02,52,2019,21,37
2019-06-09,2019-06-09,54,2019,24,48
2019-06-16,2019-06-16,49,2019,23,41
2019-06-23,2019-06-23,49,2019,21,37
2019-06-30,2019-06-30,48,2019,21,37
2019-07-07,2019-07-07,48,2019,21,37
2019-07-14,2019-07-14,47,2019,22,39
2019-07-21,2019-07-21,46,2019,20,37
2019-07-28,2019-07-28,47,2019,22,38
2019-08-04,2019-08-04,82,2019,21,41
2019-08-11,2019-08-11,61,2019,19,34
2019-08-18,2019-08-18,52,2019,20,34
2019-08-25,2019-08-25,53,2019,47,35
2019-09-01,2019-09-01,48,2019,100,47
2019-09-08,2019-09-08,54,2019,43,30
2019-09-15,2019-09-15,54,2019,42,32
2019-09-22,2019-09-22,53,2019,30,30
2019-09-29,2019-09-29,58,2019,17,28
2019-10-06,2019-10-06,49,2019,17,27
2019-10-13,2019-10-13,58,2019,17,32
2019-10-20,2019-10-20,58,2019,17,34
2019-10-27,2019-10-27,62,2019,18,37
2019-11-03,2019-11-03,63,2019,19,35
2019-11-10,2019-11-10,62,2019,20,36
2019-11-17,2019-11-17,62,2019,20,38
2019-11-24,2019-11-24,67,2019,36,62
2019-12-01,2019-12-01,64,2019,27,47
2019-12-08,2019-12-08,70,2019,25,51
2019-12-15,2019-12-15,69,2019,27,51
2019-12-22,2019-12-22,65,2019,40,71
2019-12-29,2019-12-29,63,2019,29,53
2020-01-05,2020-01-05,55,2020,20,36
2020-01-12,2020-01-12,56,2020,20,34
2020-01-19,2020-01-19,58,2020,20,37
2020-01-26,2020-01-26,55,2020,18,31
2020-02-02,2020-02-02,65,2020,19,35
2020-02-09,2020-02-09,59,2020,20,34
2020-02-16,2020-02-16,59,2020,20,35
2020-02-23,2020-02-23,62,2020,19,34
2020-03-01,2020-03-01,60,2020,18,31
2020-03-08,2020-03-08,61,2020,19,36
2020-03-15,2020-03-15,69,2020,28,61
2020-03-22,2020-03-22,85,2020,34,58
2020-03-29,2020-03-29,80,2020,33,58
2020-04-05,2020-04-05,77,2020,35,63
2020-04-12,2020-04-12,80,2020,40,63
2020-04-19,2020-04-19,80,2020,34,57
2020-04-26,2020-04-26,100,2020,33,59
2020-05-03,2020-05-03,94,2020,31,51
