Category: All categories

Week,video games: (United States)
2017-09-17,53
2017-09-24,54
2017-10-01,48
2017-10-08,56
2017-10-15,57
2017-10-22,60
2017-10-29,59
2017-11-05,67
2017-11-12,65
2017-11-19,79
2017-11-26,72
2017-12-03,67
2017-12-10,69
2017-12-17,71
2017-12-24,68
2017-12-31,57
2018-01-07,60
2018-01-14,61
2018-01-21,63
2018-01-28,63
2018-02-04,63
2018-02-11,70
2018-02-18,66
2018-02-25,66
2018-03-04,69
2018-03-11,66
2018-03-18,62
2018-03-25,63
2018-04-01,62
2018-04-08,70
2018-04-15,64
2018-04-22,63
2018-04-29,59
2018-05-06,59
2018-05-13,60
2018-05-20,62
2018-05-27,58
2018-06-03,57
2018-06-10,59
2018-06-17,52
2018-06-24,50
2018-07-01,50
2018-07-08,54
2018-07-15,53
2018-07-22,50
2018-07-29,51
2018-08-05,51
2018-08-12,52
2018-08-19,52
2018-08-26,57
2018-09-02,64
2018-09-09,57
2018-09-16,59
2018-09-23,54
2018-09-30,58
2018-10-07,57
2018-10-14,56
2018-10-21,60
2018-10-28,60
2018-11-04,64
2018-11-11,71
2018-11-18,77
2018-11-25,72
2018-12-02,76
2018-12-09,73
2018-12-16,70
2018-12-23,66
2018-12-30,64
2019-01-06,60
2019-01-13,62
2019-01-20,59
2019-01-27,62
2019-02-03,59
2019-02-10,61
2019-02-17,59
2019-02-24,61
2019-03-03,59
2019-03-10,59
2019-03-17,63
2019-03-24,61
2019-03-31,59
2019-04-07,58
2019-04-14,58
2019-04-21,57
2019-04-28,48
2019-05-05,56
2019-05-12,61
2019-05-19,57
2019-05-26,55
2019-06-02,52
2019-06-09,54
2019-06-16,49
2019-06-23,49
2019-06-30,48
2019-07-07,48
2019-07-14,47
2019-07-21,46
2019-07-28,47
2019-08-04,82
2019-08-11,61
2019-08-18,52
2019-08-25,53
2019-09-01,48
2019-09-08,54
2019-09-15,54
2019-09-22,53
2019-09-29,58
2019-10-06,49
2019-10-13,58
2019-10-20,58
2019-10-27,62
2019-11-03,63
2019-11-10,62
2019-11-17,62
2019-11-24,67
2019-12-01,64
2019-12-08,70
2019-12-15,69
2019-12-22,65
2019-12-29,63
2020-01-05,55
2020-01-12,56
2020-01-19,58
2020-01-26,55
2020-02-02,65
2020-02-09,59
2020-02-16,59
2020-02-23,62
2020-03-01,60
2020-03-08,61
2020-03-15,69
2020-03-22,85
2020-03-29,80
2020-04-05,77
2020-04-12,80
2020-04-19,80
2020-04-26,100
2020-05-03,94
2020-05-10,64
2020-05-17,62
2020-05-24,60
2020-05-31,54
2020-06-07,68
2020-06-14,80
2020-06-21,67
2020-06-28,68
2020-07-05,68
2020-07-12,66
2020-07-19,58
2020-07-26,64
2020-08-02,65
2020-08-09,64
2020-08-16,63
2020-08-23,67
2020-08-30,65
2020-09-06,68
2020-09-13,74
2020-09-20,64
2020-09-27,62
2020-10-04,63
2020-10-11,60
2020-10-18,59
2020-10-25,60
2020-11-01,52
2020-11-08,64
2020-11-15,72
2020-11-22,69
2020-11-29,74
2020-12-06,71
2020-12-13,63
2020-12-20,71
2020-12-27,67
2021-01-03,63
2021-01-10,62
2021-01-17,67
2021-01-24,66
2021-01-31,67
2021-02-07,63
2021-02-14,62
2021-02-21,61
2021-02-28,67
2021-03-07,61
2021-03-14,57
2021-03-21,63
2021-03-28,56
2021-04-04,56
2021-04-11,58
2021-04-18,57
2021-04-25,59
2021-05-02,52
2021-05-09,57
2021-05-16,57
2021-05-23,63
2021-05-30,56
2021-06-06,54
2021-06-13,56
2021-06-20,61
2021-06-27,56
2021-07-04,53
2021-07-11,47
2021-07-18,55
2021-07-25,57
2021-08-01,57
2021-08-08,53
2021-08-15,53
2021-08-22,56
2021-08-29,62
2021-09-05,60
2021-09-12,59
2021-09-19,56
2021-09-26,54
2021-10-03,57
2021-10-10,52
2021-10-17,61
2021-10-24,60
2021-10-31,56
2021-11-07,66
2021-11-14,71
2021-11-21,72
2021-11-28,60
2021-12-05,66
2021-12-12,56
2021-12-19,62
2021-12-26,68
2022-01-02,66
2022-01-09,61
2022-01-16,58
2022-01-23,61
2022-01-30,63
2022-02-06,59
2022-02-13,57
2022-02-20,61
2022-02-27,56
2022-03-06,60
2022-03-13,57
2022-03-20,58
2022-03-27,61
2022-04-03,61
2022-04-10,59
2022-04-17,61
2022-04-24,60
2022-05-01,56
2022-05-08,57
2022-05-15,63
2022-05-22,60
2022-05-29,57
2022-06-05,59
2022-06-12,55
2022-06-19,53
2022-06-26,48
2022-07-03,60
2022-07-10,47
2022-07-17,54
2022-07-24,55
2022-07-31,54
2022-08-07,51
2022-08-14,54
2022-08-21,54
2022-08-28,52
2022-09-04,55
