Category: All categories

City,video games: (9/12/17 - 9/12/22)
Roseburg,
Cedar Rapids,100
Marion,
Dubuque,86
Ely,
Moline,
Cedar Falls,
Davenport,76
Boardman,63
Muncie,
West Jordan,
Bettendorf,
Pullman,51
Saratoga Springs,
Cicero,
Athens,
Logan,
DeKalb,
Bonney,
American Fork,
North Highlands,
Carpentersville,
Nampa,45
Redmond,44
Los Banos,
Manassas,
Bowling Green,
Thornton,
San Tan Valley,
Ogden,
Midland,
Azalea Park,
West Windsor Township,
Batavia,
West Allis,
Fairfield,
Grand Forks,
Council Bluffs,
Gresham,
Stillwater,
Beckett Ridge,
Knights Landing,
Alameda,
Rio Rancho,
Brighton,41
Bellevue,41
Kirkland,
Sumter,
Neenah,
Wade Hampton,
Levittown,
Terre Haute,
Belfair,
Ypsilanti Charter Township,
Peabody,
Northglenn,
East Lansing,
Upland,
Bartlett,
Westminster,
Gainesville,38
Hanford,
Bolingbrook,
Salem,38
Citrus Heights,
Wheeling,
Wake Forest,
Lakewood,
Enterprise,
Scotch Plains,
O'Fallon,37
Fort Wayne,37
Winter Springs,
Richmond,
Hope Mills,
Redondo Beach,
Corvallis,
Grand Junction,
Lithia,
Murrieta,
Howards Grove,
O'Fallon,36
Denton,
Catalina Foothills,
Casa Grande,
Amherst,
Melrose Park,
Upper Arlington,
Lakewood,
Thousand Oaks,36
Goldsboro,
East Foothills,
Felton,
Orion charter Township,
Bremerton,
South Whittier,
Lexington Park,
Towson,
Florence,
Redlands,
Edmond,
Simpsonville,
Auburn,35
Novi,35
Imperial,
Columbus,
West Sacramento,
Ranchettes,
Lakeville,
Ithaca,
Urbandale,
Groveland,
Concord,
Goodyear,
Pico Rivera,
Charleston,
Eagan,
Bethesda,33
McLean,
Bryan,
Lilburn,
Douglasville,
Maryland Heights,
Yountville,
Orland Park,
Williamsburg,
Franklin,
Hattiesburg,
Statesville,
Cinco Ranch,
Gates-North Gates,
Palm Springs,
Deerfield Beach,
Agawam,
Springville,
Sun Prairie,
Muscatine,
Lindenwold,
Wright,
Ypsilanti,
Vineyard,
Tigard,
Hammonton,
Delhi charter Township,
Irmo,
Cambrian Park,
Port Huron,
East Norriton,
Indian Trail,
Monterey Park,
Loveland,
Somerton,
Monroe,
Loves Park,
Ruston,
Whitney,
Kalispell,
Springfield,
Bridgeport,
Midway,
Fort Mill,
Cranberry Township,
Black Jack,
Woodstock,
San Carlos,
Worthington,
Endwell,
Lansdale,
Jasmine Estates,
Greenfield,
Seaford,
West Haven,
Binghamton,
New Lenox,
Warren,
Norwood,
Wilkes-Barre,
Taunton,
Trinity,
Romeoville,
New Berlin,
Cypress,
Vineland,
Millersville,
Beaumont,
Griffin,
Louisville,
Roseville,
West Babylon,
Chapel Hill,
Gantt,
Westmont,
Middletown,
Seguin,
Gadsden,
LaGrange,
Irvington,
Tarrytown,
Panama City Beach,
Benson,
