Category: All categories

Week,Xbox One: (United States)
2017-09-17,38
2017-09-24,36
2017-10-01,35
2017-10-08,37
2017-10-15,37
2017-10-22,39
2017-10-29,45
2017-11-05,59
2017-11-12,52
2017-11-19,89
2017-11-26,66
2017-12-03,56
2017-12-10,65
2017-12-17,70
2017-12-24,100
2017-12-31,68
2018-01-07,52
2018-01-14,51
2018-01-21,49
2018-01-28,46
2018-02-04,46
2018-02-11,44
2018-02-18,47
2018-02-25,54
2018-03-04,43
2018-03-11,48
2018-03-18,52
2018-03-25,50
2018-04-01,49
2018-04-08,47
2018-04-15,41
2018-04-22,39
2018-04-29,39
2018-05-06,38
2018-05-13,37
2018-05-20,44
2018-05-27,45
2018-06-03,43
2018-06-10,53
2018-06-17,46
2018-06-24,45
2018-07-01,46
2018-07-08,45
2018-07-15,46
2018-07-22,44
2018-07-29,45
2018-08-05,45
2018-08-12,52
2018-08-19,39
2018-08-26,41
2018-09-02,41
2018-09-09,42
2018-09-16,38
2018-09-23,40
2018-09-30,36
2018-10-07,39
2018-10-14,38
2018-10-21,40
2018-10-28,41
2018-11-04,44
2018-11-11,46
2018-11-18,77
2018-11-25,56
2018-12-02,49
2018-12-09,49
2018-12-16,60
2018-12-23,83
2018-12-30,56
2019-01-06,44
2019-01-13,39
2019-01-20,40
2019-01-27,52
2019-02-03,39
2019-02-10,38
2019-02-17,40
2019-02-24,36
2019-03-03,38
2019-03-10,36
2019-03-17,35
2019-03-24,33
2019-03-31,33
2019-04-07,30
2019-04-14,35
2019-04-21,31
2019-04-28,29
2019-05-05,30
2019-05-12,30
2019-05-19,32
2019-05-26,34
2019-06-02,37
2019-06-09,48
2019-06-16,41
2019-06-23,37
2019-06-30,37
2019-07-07,37
2019-07-14,39
2019-07-21,37
2019-07-28,38
2019-08-04,41
2019-08-11,34
2019-08-18,34
2019-08-25,35
2019-09-01,47
2019-09-08,30
2019-09-15,32
2019-09-22,30
2019-09-29,28
2019-10-06,27
2019-10-13,32
2019-10-20,34
2019-10-27,37
2019-11-03,35
2019-11-10,36
2019-11-17,38
2019-11-24,62
2019-12-01,47
2019-12-08,51
2019-12-15,51
2019-12-22,71
2019-12-29,53
2020-01-05,36
2020-01-12,34
2020-01-19,37
2020-01-26,31
2020-02-02,35
2020-02-09,34
2020-02-16,35
2020-02-23,34
2020-03-01,31
2020-03-08,36
2020-03-15,61
2020-03-22,58
2020-03-29,58
2020-04-05,63
2020-04-12,63
2020-04-19,57
2020-04-26,59
2020-05-03,51
2020-05-10,52
2020-05-17,51
2020-05-24,48
2020-05-31,42
2020-06-07,53
2020-06-14,48
2020-06-21,45
2020-06-28,47
2020-07-05,43
2020-07-12,43
2020-07-19,47
2020-07-26,41
2020-08-02,44
2020-08-09,46
2020-08-16,44
2020-08-23,42
2020-08-30,40
2020-09-06,42
2020-09-13,43
2020-09-20,50
2020-09-27,37
2020-10-04,38
2020-10-11,42
2020-10-18,40
2020-10-25,40
2020-11-01,34
2020-11-08,71
2020-11-15,58
2020-11-22,70
2020-11-29,57
2020-12-06,56
2020-12-13,56
2020-12-20,72
2020-12-27,59
2021-01-03,43
2021-01-10,41
2021-01-17,41
2021-01-24,38
2021-01-31,39
2021-02-07,36
2021-02-14,39
2021-02-21,59
2021-02-28,34
2021-03-07,33
2021-03-14,36
2021-03-21,34
2021-03-28,37
2021-04-04,32
2021-04-11,32
2021-04-18,30
2021-04-25,28
2021-05-02,29
2021-05-09,29
2021-05-16,29
2021-05-23,29
2021-05-30,31
2021-06-06,31
2021-06-13,38
2021-06-20,33
2021-06-27,33
2021-07-04,32
2021-07-11,33
2021-07-18,33
2021-07-25,32
2021-08-01,32
2021-08-08,31
2021-08-15,31
2021-08-22,34
2021-08-29,28
2021-09-05,28
2021-09-12,29
2021-09-19,28
2021-09-26,28
2021-10-03,28
2021-10-10,29
2021-10-17,29
2021-10-24,26
2021-10-31,30
2021-11-07,36
2021-11-14,42
2021-11-21,52
2021-11-28,40
2021-12-05,39
2021-12-12,41
2021-12-19,51
2021-12-26,54
2022-01-02,44
2022-01-09,36
2022-01-16,41
2022-01-23,34
2022-01-30,37
2022-02-06,31
2022-02-13,34
2022-02-20,37
2022-02-27,31
2022-03-06,32
2022-03-13,31
2022-03-20,31
2022-03-27,30
2022-04-03,27
2022-04-10,27
2022-04-17,26
2022-04-24,24
2022-05-01,33
2022-05-08,30
2022-05-15,27
2022-05-22,28
2022-05-29,30
2022-06-05,34
2022-06-12,38
2022-06-19,35
2022-06-26,33
2022-07-03,33
2022-07-10,33
2022-07-17,35
2022-07-24,33
2022-07-31,31
2022-08-07,32
2022-08-14,31
2022-08-21,30
2022-08-28,28
2022-09-04,30
