Category: All categories

City,Xbox One: (9/12/17 - 9/12/22)
Twentynine Palms,
Jacksonville,100
Fountain,
Winchester,
Belton,
London,
Adrian,
Warren,
Marion,
Porterville,
Port Huron,
Chillicothe,
Parkland,
Zanesville,
Spokane Valley,
Schofield Barracks,
Terre Haute,
Lincoln Park,
Durant,
Yakima,
Fairbanks,
Red Bank,
Fall River,
Millville,
Lorain,
Georgetown,
Sedalia,
Hutchinson,
Denison,
Richmond,
Nicholasville,
Fort Stewart,
Middletown,
Sonora,
Farmington,
La Grange,
Pleasant Grove,
Barberton,
Saratoga Springs,
West Valley City,
Grovetown,
Massillon,
Pocatello,
Council Bluffs,
Lacey,
Greenwood,
Ogden,70
Huntington,
Morristown,
Lewiston,
Lakewood,69
Hannibal,
Bullhead City,
Pasco,
Louisville,
Troy,
Seguin,
Covington,
Coventry,
Queensbury,
Howards Grove,
Orchard Hills,
Ceres,
Camas,
Somerton,
Joliet,
Centerville,
Lockport,
Torrington,
Derry,
Buckeye,
Independence charter Township,
Topeka,
Welby,
Janesville,
Wooster,
Goshen,
Southlake,
Belleview,
North Highlands,
Bothell,
Cookeville,
Waterbury,
Kent,
University Park,
Ypsilanti Charter Township,
Cedar Falls,
Lincoln,61
Logan,
Roswell,
Laredo,61
Jan Phyl Village,
Orem,
Grants Pass,
Ranchettes,
Gary,
Olathe,
Weatherford,
Clayton,
Walterhill,
Cicero,
Winchester,
Belleville,
Montclair,
Idaho Falls,
Huron Charter Township,
Lincoln,58
New Bedford,
East Moline,
East Haven,
Johnson City,
Sioux Falls,
Jordan,
Statesboro,
Mountain Top,
San Antonio,56
Eau Claire,
Denton,
Haslet,
Glen Ellyn,
Mesquite,
Saint Cloud,
Parker,
Hendersonville,
Brownsville,
Country Knolls,
Pleasant Prairie,
Centertown,
West Bend,
West Seneca,
Northlake,
Greenville,
South Bend,
Landen,
Friendswood,
Fairfield,
Richton Park,
Imperial,
Gulfport,
Huntington Park,
North Little Rock,
LaGrange,
Marana,
Clovis,
Westminster,
Plant City,
Longmont,
Commerce Charter Township,
Cascade-Fairwood,
Rockwall,
Southington,
Farragut,
Centennial,50
Washington Township,
Salisbury,
Land O' Lakes,
Brookside,
Holladay,49
Methuen,
Aiken,
Wake Forest,
Jacksonville,48
Rohnert Park,
Meridian charter Township,
Santa Clarita,48
Meadow Woods,
Moon,
Macon,
Bozeman,
Brentwood,
Rocklin,
Bellevue,
Avon,
Rocky Mount,
Santa Paula,
Charlotte,
Florence,
Lancaster,
Mableton,
East Foothills,
Hartford,43
Montebello,
Santa Rosa,
Old Bridge Township,
Ocean Township,
Concord,
Georgetown,
Tuckahoe,
Gates-North Gates,
Melbourne,
Manchester Township,
La Puente,
Wilmington,
Maryland Heights,
Mount Laurel,
Williamsburg,
Schaumburg,
Richmond,
Pittsfield Charter Township,
Verona,
